Latin;Svenska
Littorina littorea;Större strandsnäcka
Littorina saxatilis;Vivipar strandsnäcka
Turritella communis;Tornsnäcka
Aporrhais pespelecani;Pelikanfotsnäcka
Nassarius nitidus;Nätsnäcka
Buccinum undatum;Valthornsnäcka
Neptunea antiqua;Neptunsnäcka
Alypsia punctata;Sjöhare
Mytilus edulis;Blåmussla
Modiolus modiolus;Hästmussla
Ostrea edulis;Europeiskt ostron
Crassostrea gigas;Japansk jätteostron
Pecten maximus;Stor kammussla
Aequipteren opercularis;Hoppmussla
Pseudamussium peslutrae;Sjustrålig kammussla
Arctica islandica;Islandsmussla
Cerastoderma sp;Hjärtmussla
Acanthocardia echinata;Taggig Hjärtmussla
Ensis americanus;Amerikansk kammussla
Mya arenaria;Sandmussla
Teredo navalis;Skeppsmask
Antalis entalis;Tandsnäcka
